LLM,Strategy,BaselineStrategy,PairedN,MeanBaseline,MeanStrategy,MedianBaseline,MedianStrategy,WilcoxonP_TwoSided
claude-sonnet-4,few_shot,only_prompt,12,78.1184527079,88.4574495951,79.6527786255,92.3064460754,0.00048828125
claude-sonnet-4,few_shots_AND_grammar,only_prompt,12,78.1184527079,86.6077295939,79.6527786255,89.7514762878,0.0009765625
claude-sonnet-4,few_shots_AND_grammar_AND_helper,only_prompt,12,78.1184527079,86.9422982534,79.6527786255,89.8601951599,0.0009765625
claude-sonnet-4,grammar,only_prompt,12,78.1184527079,84.9876772563,79.6527786255,89.0964775085,0.00244140625
gemini-2-5-pro,few_shot,only_prompt,12,60.1238085429,85.1962750753,61.1849269867,88.3276519775,0.00048828125
gemini-2-5-pro,few_shots_AND_grammar,only_prompt,12,60.1238085429,87.8554808299,61.1849269867,90.5011138916,0.00048828125
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,only_prompt,12,60.1238085429,87.0245056152,61.1849269867,89.4648742676,0.00048828125
gemini-2-5-pro,grammar,only_prompt,12,60.1238085429,78.4624532064,61.1849269867,77.7354125977,0.00048828125
gpt-5,few_shot,only_prompt,12,62.1595389048,86.9384384155,61.4782867432,90.1261024475,0.00048828125
gpt-5,few_shots_AND_grammar,only_prompt,12,62.1595389048,85.650285085,61.4782867432,89.7236328125,0.00048828125
gpt-5,few_shots_AND_grammar_AND_helper,only_prompt,12,62.1595389048,86.4000867208,61.4782867432,89.5918426514,0.00048828125
gpt-5,grammar,only_prompt,12,62.1595389048,80.1687679291,61.4782867432,84.2266693115,0.0009765625
